lifestyle-rating,waste-sorting,avoid-plastics,plant-meals,time-commitment,buy-secondhand,reduce-resources,commute-choice
5,Often,Often,Daily,30-45,Sometimes,Sometimes,Walk
1,Often,Rarely,Sometimes,30-45,Daily,Rarely,None
4,Never,Daily,Often,45+,Daily,Never,None
3,Sometimes,Sometimes,Sometimes,20-30,Often,Never,Other
5,Sometimes,Rarely,Often,1-10,Rarely,Sometimes,Public Transport
4,Often,Sometimes,Sometimes,1-10,Never,Daily,Public Transport
5,Often,Sometimes,Often,1-10,Often,Often,Other
4,Sometimes,Sometimes,Rarely,20-30,Never,Often,Bike
1,Rarely,Sometimes,Often,30-45,Sometimes,Daily,Bike
2,Sometimes,Daily,Rarely,1-10,Daily,Often,Other
3,Often,Sometimes,Sometimes,30-45,Daily,Rarely,Walk
3,Daily,Sometimes,Daily,20-30,Never,Never,None
2,Sometimes,Never,Often,20-30,Often,Daily,Car
3,Sometimes,Sometimes,Never,45+,Sometimes,Often,Bike
2,Rarely,Often,Daily,20-30,Often,Sometimes,Bike
2,Never,Often,Sometimes,30-45,Sometimes,Often,Public Transport
3,Never,Daily,Often,1-10,Often,Never,Public Transport
3,Rarely,Rarely,Rarely,10-20,Rarely,Sometimes,Car
2,Rarely,Daily,Daily,30-45,Sometimes,Never,Car
3,Often,Never,Never,20-30,Sometimes,Rarely,Car
5,Daily,Never,Rarely,1-10,Sometimes,Sometimes,None
2,Never,Never,Daily,45+,Daily,Daily,Car
1,Often,Rarely,Rarely,10-20,Often,Never,Bike
1,Daily,Often,Daily,20-30,Sometimes,Often,Car
2,Rarely,Rarely,Sometimes,30-45,Sometimes,Rarely,Bike
3,Daily,Sometimes,Daily,1-10,Often,Daily,Walk
3,Sometimes,Never,Daily,10-20,Rarely,Sometimes,Other
3,Never,Often,Rarely,10-20,Often,Rarely,Other
5,Sometimes,Never,Rarely,45+,Never,Daily,Car
1,Daily,Daily,Rarely,1-10,Often,Rarely,Bike
4,Daily,Rarely,Rarely,45+,Rarely,Rarely,Bike
4,Rarely,Sometimes,Never,45+,Daily,Sometimes,Other
3,Often,Often,Never,20-30,Daily,Rarely,None
5,Rarely,Never,Never,10-20,Daily,Rarely,None
1,Often,Often,Never,30-45,Never,Often,Car
4,Rarely,Rarely,Rarely,20-30,Rarely,Never,None
4,Often,Never,Daily,20-30,Sometimes,Never,Car
2,Daily,Sometimes,Daily,45+,Sometimes,Daily,Public Transport
2,Often,Rarely,Never,1-10,Daily,Daily,Bike
3,Rarely,Often,Daily,30-45,Daily,Often,Public Transport
4,Never,Sometimes,Sometimes,30-45,Sometimes,Daily,Public Transport
3,Rarely,Sometimes,Daily,10-20,Sometimes,Rarely,Walk
5,Rarely,Often,Rarely,45+,Sometimes,Never,None
1,Never,Rarely,Rarely,10-20,Daily,Never,Bike
5,Never,Rarely,Sometimes,20-30,Never,Daily,Bike
5,Often,Never,Sometimes,1-10,Daily,Sometimes,Bike
3,Never,Daily,Sometimes,30-45,Never,Often,Car
4,Rarely,Sometimes,Daily,10-20,Never,Never,None
1,Sometimes,Sometimes,Often,10-20,Rarely,Sometimes,Other
3,Often,Never,Never,20-30,Never,Sometimes,Other
1,Often,Daily,Rarely,45+,Daily,Daily,Bike
5,Rarely,Sometimes,Rarely,20-30,Rarely,Never,Public Transport
4,Sometimes,Never,Often,1-10,Often,Never,Other
2,Rarely,Often,Daily,45+,Never,Daily,None
1,Rarely,Sometimes,Sometimes,30-45,Daily,Never,None
1,Rarely,Often,Never,45+,Never,Rarely,Bike
2,Never,Often,Often,1-10,Often,Sometimes,Car
2,Often,Never,Never,45+,Sometimes,Sometimes,None
5,Often,Often,Never,1-10,Rarely,Daily,None
2,Sometimes,Sometimes,Sometimes,1-10,Rarely,Often,Walk
4,Often,Never,Often,10-20,Often,Rarely,Other
5,Sometimes,Never,Often,30-45,Sometimes,Never,Walk
3,Sometimes,Sometimes,Daily,10-20,Daily,Daily,Walk
4,Never,Rarely,Rarely,1-10,Sometimes,Daily,Bike
1,Sometimes,Daily,Rarely,20-30,Sometimes,Daily,None
4,Daily,Daily,Never,20-30,Often,Daily,None
5,Often,Often,Often,10-20,Often,Daily,Other
4,Daily,Daily,Daily,10-20,Daily,Rarely,Walk
4,Rarely,Rarely,Never,10-20,Often,Often,Bike
4,Often,Sometimes,Never,10-20,Never,Never,Other
3,Often,Never,Often,10-20,Never,Often,None
5,Sometimes,Daily,Rarely,45+,Daily,Never,Other
1,Rarely,Never,Never,10-20,Never,Sometimes,Public Transport
4,Often,Often,Sometimes,1-10,Often,Rarely,Bike
4,Rarely,Sometimes,Often,1-10,Daily,Never,Walk
3,Sometimes,Sometimes,Often,20-30,Never,Rarely,Public Transport
1,Sometimes,Daily,Never,30-45,Often,Often,Public Transport
4,Sometimes,Sometimes,Sometimes,20-30,Sometimes,Rarely,Bike
1,Rarely,Rarely,Sometimes,20-30,Daily,Daily,Car
1,Daily,Rarely,Rarely,45+,Daily,Daily,Bike
5,Sometimes,Daily,Often,20-30,Daily,Rarely,Other
3,Never,Rarely,Rarely,20-30,Sometimes,Rarely,Car
5,Never,Never,Daily,30-45,Often,Sometimes,Bike
5,Daily,Often,Rarely,10-20,Never,Sometimes,Bike
4,Rarely,Never,Daily,10-20,Often,Sometimes,Bike
3,Sometimes,Daily,Sometimes,30-45,Sometimes,Never,Walk
2,Often,Daily,Daily,20-30,Sometimes,Sometimes,Other
3,Rarely,Often,Never,45+,Often,Sometimes,Walk
4,Often,Daily,Often,10-20,Sometimes,Daily,None
5,Daily,Often,Daily,1-10,Never,Daily,Public Transport
2,Never,Sometimes,Rarely,10-20,Never,Rarely,Public Transport
4,Rarely,Daily,Never,45+,Never,Never,Public Transport
4,Never,Often,Daily,1-10,Daily,Sometimes,Bike
1,Often,Never,Rarely,1-10,Daily,Sometimes,None
1,Never,Rarely,Often,45+,Rarely,Rarely,Public Transport
3,Often,Rarely,Never,30-45,Daily,Often,Bike
1,Daily,Daily,Sometimes,30-45,Rarely,Often,Walk
5,Daily,Sometimes,Rarely,10-20,Daily,Never,None
2,Often,Often,Rarely,45+,Sometimes,Rarely,Car
1,Never,Often,Rarely,30-45,Sometimes,Sometimes,Bike
4,Never,Rarely,Never,20-30,Often,Often,Walk
4,Sometimes,Sometimes,Rarely,30-45,Never,Sometimes,Public Transport
4,Never,Rarely,Sometimes,1-10,Daily,Daily,Other
3,Daily,Daily,Daily,30-45,Daily,Never,Walk
3,Sometimes,Often,Sometimes,30-45,Never,Sometimes,Walk
1,Rarely,Daily,Rarely,1-10,Sometimes,Daily,Car
3,Rarely,Sometimes,Sometimes,10-20,Sometimes,Never,Bike
3,Often,Never,Often,10-20,Daily,Rarely,None
2,Rarely,Rarely,Rarely,30-45,Sometimes,Often,Car
2,Often,Daily,Rarely,10-20,Rarely,Rarely,Walk
1,Rarely,Often,Sometimes,10-20,Often,Sometimes,Car
4,Rarely,Often,Daily,20-30,Often,Never,None
5,Often,Never,Sometimes,20-30,Sometimes,Rarely,Other
3,Never,Sometimes,Rarely,45+,Often,Daily,Car
1,Rarely,Never,Sometimes,30-45,Sometimes,Sometimes,Walk
4,Daily,Never,Daily,30-45,Often,Sometimes,Bike
5,Never,Sometimes,Rarely,30-45,Rarely,Rarely,Bike
4,Rarely,Daily,Never,30-45,Rarely,Rarely,None
5,Rarely,Rarely,Daily,30-45,Sometimes,Often,Other
5,Daily,Daily,Sometimes,10-20,Often,Often,Car
4,Rarely,Daily,Daily,20-30,Rarely,Daily,None
4,Daily,Daily,Often,20-30,Often,Often,Other
3,Daily,Rarely,Often,45+,Sometimes,Sometimes,Bike
5,Daily,Often,Never,20-30,Never,Sometimes,Bike
3,Never,Never,Never,45+,Never,Rarely,Walk
3,Often,Often,Never,10-20,Often,Daily,None
1,Often,Never,Never,10-20,Often,Never,Car
2,Daily,Sometimes,Sometimes,1-10,Sometimes,Daily,Walk
4,Often,Never,Rarely,45+,Daily,Rarely,Car
5,Never,Never,Rarely,20-30,Often,Daily,Other
2,Never,Rarely,Never,20-30,Daily,Often,Car
1,Daily,Often,Never,30-45,Often,Often,Walk
1,Rarely,Daily,Often,20-30,Sometimes,Rarely,Other
4,Never,Daily,Rarely,45+,Often,Rarely,Bike
3,Rarely,Often,Never,30-45,Daily,Rarely,Bike
4,Rarely,Daily,Sometimes,10-20,Never,Never,Walk
4,Sometimes,Sometimes,Daily,45+,Daily,Daily,None
5,Rarely,Daily,Daily,30-45,Rarely,Sometimes,Bike
5,Sometimes,Daily,Never,20-30,Daily,Never,Walk
4,Daily,Often,Daily,1-10,Often,Never,Public Transport
3,Rarely,Sometimes,Never,10-20,Rarely,Often,Walk
5,Daily,Rarely,Often,30-45,Sometimes,Never,Bike
4,Never,Daily,Rarely,10-20,Never,Daily,Walk
1,Rarely,Sometimes,Never,20-30,Often,Never,Bike
5,Never,Rarely,Daily,30-45,Rarely,Rarely,Car
5,Sometimes,Daily,Rarely,10-20,Rarely,Sometimes,None
1,Daily,Never,Rarely,20-30,Sometimes,Never,Other
2,Often,Rarely,Never,1-10,Sometimes,Never,Bike
4,Never,Sometimes,Often,30-45,Often,Daily,Other
5,Rarely,Never,Daily,10-20,Never,Daily,Car
5,Often,Rarely,Sometimes,45+,Never,Rarely,Public Transport
3,Daily,Sometimes,Daily,20-30,Never,Daily,None
2,Daily,Rarely,Never,10-20,Daily,Never,Bike
1,Often,Never,Rarely,1-10,Often,Never,Public Transport
4,Never,Never,Daily,30-45,Daily,Often,Bike
2,Daily,Sometimes,Daily,10-20,Rarely,Sometimes,Walk
5,Rarely,Rarely,Sometimes,45+,Rarely,Never,Other
3,Daily,Rarely,Sometimes,10-20,Often,Never,Walk
1,Often,Daily,Rarely,30-45,Often,Often,Other
2,Sometimes,Rarely,Often,45+,Daily,Rarely,None
5,Sometimes,Never,Often,30-45,Never,Sometimes,Car
1,Rarely,Sometimes,Rarely,20-30,Often,Never,Walk
2,Often,Often,Often,1-10,Often,Rarely,Car
1,Rarely,Often,Often,1-10,Sometimes,Rarely,Bike
5,Rarely,Rarely,Never,45+,Daily,Daily,Walk
2,Often,Never,Sometimes,30-45,Often,Often,Bike
5,Often,Never,Sometimes,20-30,Sometimes,Rarely,Public Transport
3,Rarely,Never,Rarely,45+,Rarely,Daily,Car
2,Rarely,Sometimes,Never,1-10,Daily,Never,None
1,Daily,Sometimes,Often,20-30,Daily,Daily,Public Transport
2,Rarely,Sometimes,Sometimes,10-20,Never,Rarely,Walk
5,Daily,Often,Daily,1-10,Often,Never,None
4,Rarely,Often,Sometimes,45+,Sometimes,Often,Bike
3,Rarely,Sometimes,Rarely,10-20,Sometimes,Often,Other
2,Rarely,Rarely,Often,45+,Rarely,Rarely,Car
5,Sometimes,Rarely,Sometimes,10-20,Never,Sometimes,Public Transport
3,Never,Daily,Often,30-45,Rarely,Rarely,Other
3,Often,Sometimes,Rarely,10-20,Rarely,Daily,Other
4,Daily,Sometimes,Rarely,10-20,Daily,Sometimes,Walk
4,Never,Rarely,Often,45+,Never,Often,Bike
1,Never,Often,Daily,10-20,Daily,Often,Bike
2,Daily,Sometimes,Often,10-20,Never,Sometimes,Other
2,Never,Daily,Rarely,1-10,Rarely,Never,Car
2,Sometimes,Daily,Rarely,10-20,Often,Never,Car
1,Daily,Daily,Rarely,10-20,Often,Daily,Bike
2,Often,Never,Often,45+,Sometimes,Often,Walk
2,Sometimes,Sometimes,Rarely,1-10,Daily,Sometimes,Public Transport
1,Sometimes,Rarely,Sometimes,45+,Daily,Never,Public Transport
2,Never,Rarely,Never,20-30,Daily,Never,Bike
1,Rarely,Never,Never,20-30,Rarely,Sometimes,Public Transport
5,Rarely,Never,Never,10-20,Often,Often,None
4,Never,Rarely,Rarely,30-45,Rarely,Often,Car
2,Daily,Rarely,Never,10-20,Sometimes,Sometimes,None
1,Sometimes,Rarely,Daily,10-20,Rarely,Sometimes,Walk
2,Often,Rarely,Sometimes,1-10,Never,Never,Bike
1,Sometimes,Often,Often,10-20,Rarely,Never,Other
5,Daily,Rarely,Rarely,1-10,Daily,Often,None
1,Sometimes,Daily,Often,20-30,Often,Rarely,Car
1,Daily,Rarely,Rarely,20-30,Daily,Rarely,Bike
3,Daily,Sometimes,Never,45+,Often,Rarely,None
1,Daily,Sometimes,Sometimes,10-20,Rarely,Often,None
2,Often,Sometimes,Daily,1-10,Sometimes,Often,None
5,Daily,Rarely,Sometimes,20-30,Often,Sometimes,Walk
3,Never,Rarely,Daily,45+,Often,Daily,Other
3,Rarely,Daily,Daily,45+,Often,Rarely,Public Transport
5,Often,Never,Rarely,30-45,Never,Rarely,Public Transport
3,Often,Sometimes,Often,20-30,Daily,Rarely,Other
1,Often,Never,Never,20-30,Rarely,Daily,Car
2,Sometimes,Daily,Often,20-30,Often,Never,Public Transport
3,Sometimes,Rarely,Daily,30-45,Never,Often,Car
3,Often,Rarely,Never,30-45,Sometimes,Daily,Other
2,Sometimes,Sometimes,Often,30-45,Sometimes,Often,Public Transport
2,Daily,Daily,Often,10-20,Rarely,Daily,Car
3,Sometimes,Never,Sometimes,45+,Never,Daily,Public Transport
1,Often,Sometimes,Never,30-45,Daily,Rarely,Bike
2,Sometimes,Never,Daily,10-20,Rarely,Sometimes,Other
1,Rarely,Daily,Rarely,20-30,Sometimes,Sometimes,Bike
2,Daily,Daily,Daily,20-30,Sometimes,Often,Car
3,Sometimes,Daily,Daily,45+,Often,Rarely,Other
3,Rarely,Rarely,Daily,10-20,Sometimes,Rarely,None
4,Never,Sometimes,Often,45+,Sometimes,Often,Walk
1,Rarely,Rarely,Rarely,30-45,Sometimes,Often,Public Transport
3,Daily,Never,Often,1-10,Sometimes,Rarely,Car
1,Never,Sometimes,Rarely,1-10,Rarely,Daily,Car
5,Daily,Rarely,Rarely,20-30,Sometimes,Never,Car
3,Rarely,Never,Daily,30-45,Daily,Sometimes,None
5,Often,Often,Daily,45+,Never,Never,None
1,Daily,Sometimes,Never,10-20,Daily,Rarely,Walk
1,Rarely,Rarely,Sometimes,45+,Daily,Daily,Walk
4,Daily,Never,Often,45+,Often,Rarely,None
5,Rarely,Rarely,Never,30-45,Never,Never,Car
1,Rarely,Often,Sometimes,10-20,Sometimes,Rarely,Other
4,Rarely,Sometimes,Often,20-30,Often,Never,Walk
3,Daily,Sometimes,Sometimes,1-10,Often,Daily,Walk
5,Daily,Often,Rarely,10-20,Sometimes,Never,Bike
2,Never,Daily,Often,45+,Rarely,Sometimes,Public Transport
4,Never,Often,Never,20-30,Sometimes,Daily,Car
2,Daily,Sometimes,Never,20-30,Never,Never,Public Transport
1,Rarely,Never,Often,45+,Rarely,Never,Public Transport
4,Sometimes,Often,Sometimes,1-10,Often,Often,Walk
3,Daily,Sometimes,Never,10-20,Sometimes,Sometimes,Public Transport
4,Often,Often,Sometimes,20-30,Never,Sometimes,Bike
5,Never,Rarely,Daily,10-20,Often,Sometimes,None
5,Often,Rarely,Rarely,20-30,Never,Daily,Public Transport
1,Rarely,Often,Daily,10-20,Often,Daily,Car
3,Never,Never,Daily,10-20,Sometimes,Sometimes,None
2,Rarely,Never,Rarely,1-10,Sometimes,Rarely,Other
3,Sometimes,Daily,Never,30-45,Never,Daily,Walk
1,Never,Sometimes,Often,30-45,Rarely,Never,Other
2,Sometimes,Sometimes,Rarely,20-30,Rarely,Often,Walk
3,Never,Never,Daily,10-20,Often,Often,Walk
1,Rarely,Sometimes,Never,10-20,Never,Never,Walk
1,Often,Often,Rarely,30-45,Often,Rarely,Public Transport
1,Daily,Rarely,Daily,45+,Never,Often,Other
5,Often,Sometimes,Never,45+,Rarely,Daily,Car
2,Daily,Often,Never,10-20,Often,Rarely,Car
3,Daily,Sometimes,Often,1-10,Daily,Rarely,Bike
5,Daily,Often,Rarely,45+,Sometimes,Daily,Bike
3,Daily,Often,Never,45+,Sometimes,Often,Public Transport
4,Daily,Sometimes,Never,20-30,Never,Rarely,Walk
3,Never,Often,Often,30-45,Often,Often,Public Transport
4,Rarely,Never,Sometimes,10-20,Often,Often,Public Transport
5,Rarely,Rarely,Daily,10-20,Sometimes,Often,Car
2,Rarely,Never,Often,45+,Daily,Never,None
1,Rarely,Often,Never,30-45,Rarely,Daily,Bike
3,Often,Daily,Daily,30-45,Sometimes,Often,Bike
3,Often,Sometimes,Sometimes,30-45,Often,Never,None
4,Rarely,Sometimes,Often,10-20,Often,Daily,Walk
4,Rarely,Rarely,Often,45+,Daily,Sometimes,None
5,Rarely,Rarely,Daily,30-45,Daily,Often,Bike
3,Never,Daily,Daily,45+,Often,Never,Car
1,Often,Never,Daily,45+,Rarely,Daily,None
2,Sometimes,Sometimes,Often,45+,Rarely,Sometimes,Car
1,Daily,Never,Daily,45+,Daily,Rarely,Car
1,Sometimes,Often,Daily,20-30,Sometimes,Never,Walk
3,Daily,Rarely,Daily,1-10,Often,Daily,None
3,Daily,Often,Often,30-45,Often,Daily,Walk
1,Rarely,Never,Rarely,30-45,Daily,Never,None
1,Daily,Never,Daily,10-20,Never,Never,Public Transport
1,Rarely,Often,Sometimes,10-20,Sometimes,Daily,Other
1,Never,Rarely,Never,30-45,Often,Rarely,Bike
4,Often,Sometimes,Never,1-10,Rarely,Rarely,Bike
4,Daily,Daily,Never,30-45,Often,Rarely,Public Transport
4,Never,Sometimes,Sometimes,45+,Never,Never,Other
1,Daily,Rarely,Never,10-20,Sometimes,Never,Other
5,Rarely,Sometimes,Rarely,45+,Rarely,Often,Other
3,Sometimes,Daily,Never,1-10,Sometimes,Daily,Walk
1,Rarely,Daily,Rarely,1-10,Often,Daily,Other
3,Rarely,Rarely,Daily,20-30,Often,Rarely,Car
3,Never,Often,Daily,10-20,Often,Rarely,Car
5,Rarely,Rarely,Often,1-10,Often,Rarely,Bike
3,Daily,Never,Sometimes,30-45,Sometimes,Daily,Bike
1,Sometimes,Often,Often,30-45,Daily,Often,Other
4,Rarely,Rarely,Often,1-10,Often,Rarely,Public Transport
5,Rarely,Never,Daily,10-20,Often,Often,None
2,Often,Daily,Sometimes,1-10,Never,Daily,Car
5,Rarely,Daily,Sometimes,45+,Daily,Often,None
1,Rarely,Often,Often,1-10,Often,Daily,Other
3,Often,Rarely,Daily,45+,Sometimes,Sometimes,Bike
3,Often,Never,Sometimes,30-45,Never,Sometimes,Other
3,Sometimes,Rarely,Often,30-45,Rarely,Never,Bike
4,Rarely,Often,Rarely,45+,Rarely,Sometimes,Other
2,Rarely,Never,Never,20-30,Rarely,Daily,None
5,Sometimes,Often,Often,45+,Daily,Rarely,Bike
2,Sometimes,Rarely,Rarely,45+,Sometimes,Sometimes,Car
2,Daily,Sometimes,Often,30-45,Often,Often,Walk
1,Sometimes,Daily,Never,1-10,Daily,Rarely,None
5,Never,Sometimes,Rarely,20-30,Never,Sometimes,Walk
4,Often,Sometimes,Sometimes,45+,Never,Often,None
4,Rarely,Often,Often,1-10,Never,Rarely,Car
3,Never,Daily,Sometimes,1-10,Often,Rarely,Walk
2,Never,Rarely,Rarely,45+,Rarely,Often,None
5,Daily,Rarely,Often,20-30,Often,Sometimes,Public Transport
1,Rarely,Sometimes,Sometimes,10-20,Sometimes,Sometimes,None
3,Sometimes,Rarely,Rarely,20-30,Sometimes,Sometimes,Bike
3,Never,Daily,Sometimes,1-10,Often,Often,Car
3,Daily,Daily,Daily,30-45,Often,Rarely,None
3,Rarely,Rarely,Often,10-20,Often,Daily,Walk
5,Rarely,Rarely,Never,20-30,Sometimes,Daily,None
5,Daily,Daily,Often,1-10,Sometimes,Rarely,Walk
2,Daily,Often,Sometimes,20-30,Sometimes,Often,Car
3,Sometimes,Sometimes,Often,30-45,Rarely,Rarely,Public Transport
5,Daily,Often,Often,30-45,Rarely,Never,Public Transport
4,Daily,Daily,Often,1-10,Rarely,Sometimes,None
1,Daily,Daily,Often,1-10,Often,Rarely,Public Transport
3,Daily,Never,Rarely,20-30,Rarely,Often,Walk
4,Never,Daily,Never,1-10,Sometimes,Sometimes,Walk
5,Rarely,Often,Sometimes,1-10,Often,Never,Public Transport
2,Sometimes,Never,Rarely,1-10,Never,Daily,Public Transport
5,Never,Daily,Often,10-20,Sometimes,Rarely,None
5,Often,Never,Sometimes,30-45,Rarely,Rarely,Public Transport
1,Sometimes,Sometimes,Rarely,1-10,Daily,Sometimes,Public Transport
1,Daily,Sometimes,Often,10-20,Never,Rarely,Public Transport
5,Daily,Daily,Sometimes,10-20,Sometimes,Never,Other
4,Never,Daily,Daily,30-45,Rarely,Never,Car
1,Never,Never,Sometimes,20-30,Rarely,Sometimes,Car
4,Daily,Daily,Sometimes,1-10,Never,Often,Car
3,Often,Sometimes,Rarely,30-45,Daily,Often,Other
2,Sometimes,Sometimes,Never,30-45,Rarely,Often,Public Transport
1,Daily,Often,Rarely,1-10,Often,Never,Walk
1,Rarely,Never,Daily,45+,Never,Never,Walk
5,Never,Often,Sometimes,45+,Often,Never,Bike
4,Sometimes,Sometimes,Sometimes,10-20,Sometimes,Never,Public Transport
5,Often,Never,Sometimes,1-10,Often,Never,Other
1,Daily,Rarely,Often,1-10,Often,Often,Car
5,Rarely,Rarely,Rarely,10-20,Never,Daily,Bike
4,Never,Sometimes,Daily,10-20,Often,Often,None
4,Never,Never,Often,20-30,Rarely,Sometimes,Walk
4,Never,Rarely,Rarely,30-45,Never,Sometimes,Public Transport
4,Daily,Often,Daily,10-20,Often,Rarely,Bike
3,Rarely,Daily,Daily,45+,Rarely,Daily,Public Transport
5,Rarely,Rarely,Often,1-10,Sometimes,Daily,None
2,Never,Never,Sometimes,45+,Sometimes,Daily,None
3,Daily,Rarely,Often,30-45,Never,Never,None
2,Rarely,Daily,Often,20-30,Daily,Daily,None
1,Never,Daily,Never,20-30,Never,Sometimes,Walk
4,Rarely,Daily,Never,1-10,Never,Never,Walk
4,Sometimes,Rarely,Daily,10-20,Often,Rarely,Public Transport
2,Rarely,Often,Never,10-20,Often,Rarely,None
1,Sometimes,Never,Rarely,1-10,Sometimes,Daily,Public Transport
5,Often,Never,Daily,45+,Sometimes,Rarely,None
3,Daily,Sometimes,Daily,45+,Daily,Never,Public Transport
5,Often,Never,Sometimes,1-10,Sometimes,Daily,Car
5,Sometimes,Often,Rarely,30-45,Daily,Rarely,None
4,Rarely,Sometimes,Sometimes,45+,Daily,Never,Bike
4,Rarely,Daily,Sometimes,45+,Often,Never,Walk
2,Daily,Daily,Often,20-30,Never,Never,Walk
2,Daily,Rarely,Often,10-20,Rarely,Never,Walk
5,Never,Rarely,Rarely,30-45,Sometimes,Often,Bike
1,Sometimes,Daily,Sometimes,30-45,Rarely,Daily,Walk
4,Sometimes,Never,Rarely,10-20,Daily,Never,Public Transport
5,Often,Never,Daily,1-10,Rarely,Rarely,Walk
2,Often,Never,Often,45+,Sometimes,Often,None
4,Never,Never,Often,45+,Rarely,Never,Car
5,Daily,Rarely,Often,30-45,Rarely,Often,Public Transport
4,Never,Often,Often,45+,Never,Rarely,None
4,Daily,Never,Often,1-10,Never,Sometimes,Bike
1,Often,Rarely,Daily,20-30,Often,Sometimes,Public Transport
2,Sometimes,Sometimes,Sometimes,20-30,Often,Never,Walk
3,Sometimes,Often,Daily,10-20,Daily,Often,Bike
1,Sometimes,Often,Rarely,20-30,Sometimes,Never,Walk
4,Daily,Sometimes,Often,10-20,Daily,Sometimes,Car
4,Often,Often,Rarely,30-45,Rarely,Sometimes,Other
4,Never,Daily,Daily,45+,Never,Often,Other
3,Often,Daily,Daily,45+,Never,Never,Bike
2,Daily,Often,Daily,45+,Often,Often,Public Transport
1,Daily,Sometimes,Often,20-30,Often,Often,Other
5,Sometimes,Daily,Rarely,30-45,Never,Often,Other
2,Rarely,Often,Daily,45+,Rarely,Often,Car
5,Daily,Daily,Daily,10-20,Often,Rarely,Walk
5,Rarely,Sometimes,Never,1-10,Never,Daily,Other
4,Daily,Sometimes,Sometimes,20-30,Daily,Never,Public Transport
1,Never,Daily,Daily,10-20,Daily,Rarely,None
1,Often,Never,Rarely,1-10,Daily,Often,Public Transport
3,Often,Often,Often,10-20,Often,Often,Walk
3,Sometimes,Sometimes,Rarely,20-30,Rarely,Often,Public Transport
1,Never,Often,Never,10-20,Never,Daily,Other
